Player ID,Numer of times made above 95th % in Total Points,Numer of times made above 95th % in PPV,Average of value,Value<50,50<=Value<=100,100<Value
205,5,4,52.36111111,#N/A,4,#N/A
134,4,4,43.52777778,4,#N/A,#N/A
164,8,4,76.38888889,#N/A,4,#N/A
309,5,4,49.09090909,4,#N/A,#N/A
278,11,4,60.44736842,#N/A,4,#N/A
100,5,4,57.51351351,#N/A,4,#N/A
68,4,4,61.97222222,#N/A,4,#N/A
184,2,4,56.10810811,#N/A,4,#N/A
616,2,3,48.91666667,3,#N/A,#N/A
504,2,3,44.73684211,3,#N/A,#N/A
380,4,3,44.61111111,3,#N/A,#N/A
357,1,3,42.58333333,3,#N/A,#N/A
549,3,3,40.5,3,#N/A,#N/A
402,6,3,54.19444444,#N/A,3,#N/A
467,3,3,43.81578947,3,#N/A,#N/A
341,3,3,44.16666667,3,#N/A,#N/A
501,2,3,57.47222222,#N/A,3,#N/A
414,2,3,53.08333333,#N/A,3,#N/A
519,1,3,43.77777778,3,#N/A,#N/A
451,3,3,57.25,#N/A,3,#N/A
554,2,3,50,#N/A,3,#N/A
455,3,3,44.41666667,3,#N/A,#N/A
346,3,3,58,#N/A,3,#N/A
529,4,3,45.55555556,3,#N/A,#N/A
325,2,3,48.27777778,3,#N/A,#N/A
315,1,3,46.77777778,3,#N/A,#N/A
304,3,3,48.16666667,3,#N/A,#N/A
103,7,3,61.38888889,#N/A,3,#N/A
187,8,3,94.72222222,#N/A,3,#N/A
252,3,3,50,#N/A,3,#N/A
137,2,3,54.61111111,#N/A,3,#N/A
63,3,3,43.33333333,3,#N/A,#N/A
13,2,3,43.52631579,3,#N/A,#N/A
255,5,3,44.11111111,3,#N/A,#N/A
119,3,3,50,#N/A,3,#N/A
152,4,3,64.33333333,#N/A,3,#N/A
117,3,3,56.5,#N/A,3,#N/A
153,3,3,62.36111111,#N/A,3,#N/A
134,3,3,67.33333333,#N/A,3,#N/A
159,10,3,62.66666667,#N/A,3,#N/A
302,2,3,48.91666667,3,#N/A,#N/A
161,7,3,56.02777778,#N/A,3,#N/A
97,5,3,60.13888889,#N/A,3,#N/A
266,4,3,58.30555556,#N/A,3,#N/A
14,4,3,49.73684211,3,#N/A,#N/A
94,3,3,44.33333333,3,#N/A,#N/A
143,5,3,53.36111111,#N/A,3,#N/A
106,6,3,57.68421053,#N/A,3,#N/A
82,3,3,48.30555556,3,#N/A,#N/A
184,6,3,52.5,#N/A,3,#N/A
49,3,3,63.63888889,#N/A,3,#N/A
544,2,3,55,#N/A,3,#N/A
422,5,3,45,3,#N/A,#N/A
375,4,3,46.55555556,3,#N/A,#N/A
498,5,3,57,#N/A,3,#N/A
391,5,3,49.08571429,3,#N/A,#N/A
389,5,3,52.17142857,#N/A,3,#N/A
373,1,3,44.27027027,3,#N/A,#N/A
367,3,3,46.88888889,3,#N/A,#N/A
566,7,3,50,#N/A,3,#N/A
504,2,3,52.38888889,#N/A,3,#N/A
524,3,3,43.72222222,3,#N/A,#N/A
432,6,3,48.85714286,3,#N/A,#N/A
442,4,3,43.97142857,3,#N/A,#N/A
603,1,3,39.14814815,3,#N/A,#N/A
546,6,3,53.61764706,#N/A,3,#N/A
512,3,3,52.55555556,#N/A,3,#N/A
492,4,3,57.36111111,#N/A,3,#N/A
459,7,3,49.05555556,3,#N/A,#N/A
493,2,3,45,3,#N/A,#N/A
411,3,3,51.4,#N/A,3,#N/A
569,6,3,79.06666667,#N/A,3,#N/A
517,2,3,43.32432432,3,#N/A,#N/A
469,3,3,54,#N/A,3,#N/A
523,1,3,40,3,#N/A,#N/A
589,2,3,40.13793103,3,#N/A,#N/A
501,2,3,47.88571429,3,#N/A,#N/A
396,2,3,49.05714286,3,#N/A,#N/A
41,9,3,53.30555556,#N/A,3,#N/A
283,4,3,55,#N/A,3,#N/A
93,2,3,48.45945946,3,#N/A,#N/A
195,4,3,43.5,3,#N/A,#N/A
102,9,3,57.73529412,#N/A,3,#N/A
42,5,3,47.69444444,3,#N/A,#N/A
259,12,3,73.73529412,#N/A,3,#N/A
70,3,3,43.14285714,3,#N/A,#N/A
281,5,3,74.05263158,#N/A,3,#N/A
113,3,3,49.11764706,3,#N/A,#N/A
286,5,3,53.60526316,#N/A,3,#N/A
